ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,speed,upTime,upTimeSuccessCount,upTimeTryCount,updated_at,responseTime
"160.251.96.109","elite","AS7506","JP","GMO Internet Group, Inc.","248","interQ","2091","socks4","1","66","1910","2893","2025-11-16T06:54:00.168Z","4693"
"168.138.44.13","elite","AS31898","JP","Oracle Corporation","278","Oracle Cloud Infrastructure (ap-osaka-1)","9091","socks4","1","100","3023","3026","2025-11-16T06:51:08.370Z","3102"
"43.153.143.177","elite","AS132203","JP","Shenzhen Tencent Computer Systems Company Limited","261","Tencent Cloud Computing","20357","socks4","1","100","587","588","2025-11-16T06:46:50.591Z","2520"
"126.147.25.36","elite","AS17676","JP","SoftBank Corp.","252","SOFTBANK Corp","3128","socks4","1","100","1152","1157","2025-11-16T06:44:26.788Z","2627"
"140.83.52.96","elite","AS31898","JP","Oracle Corporation","268","Oracle Cloud Infrastructure (ap-osaka-1)","41379","socks4","1","84","9245","10977","2025-11-16T06:38:43.474Z","3903"
"43.128.232.224","elite","AS132203","JP","Shenzhen Tencent Computer Systems Company Limited","259","Tencent Cloud Computing","31993","socks5","1","38","4133","10823","2025-11-16T06:38:43.472Z","4617"
"126.153.202.179","elite","AS17676","JP","SoftBank Corp.","270","SOFTBANK Corp","3128","socks4","1","88","3673","4152","2025-11-16T06:36:18.486Z","3594"
"97.74.87.85","elite","AS26496","JP","GoDaddy.com, LLC","237","GoDaddy.com, LLC","3128","socks4","1","63","2409","3794","2025-11-16T06:34:57.093Z","4006"
"27.228.134.250","elite","AS9605","JP","NTT DOCOMO, INC.","362","NTT DoCoMo, Inc.","3389","socks4","1","15","108","731","2025-11-16T06:32:37.765Z","4388"
"126.70.140.73","elite","AS17676","JP","SoftBank Corp.","260","SOFTBANK Corp","80","socks4","1","100","10944","10956","2025-11-16T06:30:16.690Z","4100"
"43.153.174.197","elite","AS132203","JP","Shenzhen Tencent Computer Systems Company Limited","247","Tencent Cloud Computing","443","socks5","1","99","10829","10925","2025-11-16T06:30:16.974Z","714"
"43.153.140.207","elite","AS132203","JP","Shenzhen Tencent Computer Systems Company Limited","255","Tencent Cloud Computing","20357","socks4","1","67","1691","2529","2025-11-16T06:29:19.776Z","3302"
"43.153.177.44","elite","AS132203","JP","Shenzhen Tencent Computer Systems Company Limited","252","Tencent Cloud Computing","443","socks4","1","55","6041","10934","2025-11-16T06:28:25.979Z","4822"
